employee_id,first_name,last_name,job_role,department,store_id,hire_date,salary,employment_status
1,Riya,Gupta,Inventory Manager,Inventory,11,2018-08-18,33346.22,Active
2,Sneha,Mishra,Store Associate,Sales,7,2024-05-12,76716.63,Active
3,Aditi,Mishra,Inventory Manager,Inventory,15,2019-08-09,35746.97,Active
4,Riya,Khan,Store Associate,Inventory,19,2022-10-21,78154.13,Active
5,Vikram,Singh,Operations Executive,Operations,3,2018-07-12,75693.89,Active
6,Rohan,Agarwal,Inventory Manager,Inventory,14,2024-09-08,22256.36,Active
7,Isha,Khan,Store Associate,Inventory,1,2019-04-15,63674.59,Active
8,Ananya,Agarwal,Inventory Manager,Inventory,11,2019-04-02,37664.51,Active
9,Aarav,Malhotra,Inventory Manager,Inventory,9,2023-08-13,69051.47,Active
10,Arjun,Tiwari,Inventory Manager,Inventory,10,2023-09-11,58801.0,Active
11,Rohan,Khan,Operations Executive,Sales,20,2021-08-20,50736.58,Active
12,Neha,Tiwari,Store Associate,Sales,2,2020-09-13,76826.64,Active
13,Aditya,Malhotra,Store Manager,Sales,18,2019-05-31,26602.23,Active
14,Riya,Singh,Store Associate,Inventory,20,2022-09-30,82612.31,Active
15,Karan,Malhotra,Store Associate,Operations,12,2022-11-30,78274.14,Active
16,Vikram,Gupta,Sales Executive,Sales,11,2018-03-28,57416.68,Active
17,Vikram,Sharma,Sales Executive,Sales,2,2020-07-26,22515.82,Active
18,Sneha,Verma,Operations Executive,Sales,9,2023-06-12,32353.87,Active
19,Meera,Das,Store Manager,Sales,16,2022-07-26,30757.46,Active
20,Kavya,Yadav,Store Manager,Operations,15,2018-08-10,63115.42,Inactive
21,Arjun,Sharma,Store Manager,Inventory,11,2019-03-24,34659.97,Active
22,Isha,Singh,Store Manager,Sales,9,2023-03-10,34737.03,Active
23,Isha,Agarwal,Operations Executive,Sales,2,2024-01-24,74013.85,Inactive
24,Vikram,Singh,Store Manager,Operations,16,2020-05-25,75931.58,Active
25,Rohan,Mishra,Sales Executive,Sales,13,2020-12-22,80076.71,Active
26,Priya,Mishra,Inventory Manager,Inventory,18,2023-06-17,28371.39,Active
27,Vivaan,Das,Inventory Manager,Inventory,18,2018-09-07,68114.36,Active
28,Meera,Patel,Operations Executive,Inventory,6,2018-08-21,82372.19,Active
29,Rohan,Verma,Operations Executive,Sales,8,2022-07-12,26032.4,Active
30,Vikram,Das,Operations Executive,Sales,20,2018-12-02,46088.07,Active
31,Simran,Yadav,Store Associate,Sales,11,2020-09-04,35796.17,Active
32,Priya,Patel,Store Associate,Sales,1,2023-02-21,59617.67,Active
33,Arjun,Verma,Operations Executive,Sales,17,2020-12-22,26874.59,Active
34,Aditya,Gupta,Store Associate,Operations,6,2022-11-30,73860.91,Active
35,Nisha,Agarwal,Inventory Manager,Inventory,17,2018-02-02,62746.83,Active
36,Arjun,Singh,Store Associate,Sales,4,2024-03-16,28415.01,Active
37,Karan,Malhotra,Store Associate,Sales,9,2023-09-02,50731.63,Active
38,Vivaan,Verma,Inventory Manager,Inventory,14,2021-02-07,20953.81,Active
39,Rahul,Jain,Store Associate,Sales,15,2024-03-09,65279.72,Active
40,Arjun,Verma,Inventory Manager,Inventory,5,2024-02-13,20413.89,Active
41,Riya,Singh,Store Manager,Sales,2,2021-06-16,42431.65,Active
42,Vivaan,Yadav,Sales Manager,Sales,8,2019-02-26,41696.47,Active
43,Kavya,Das,Inventory Manager,Inventory,5,2020-08-27,75928.58,Inactive
44,Rohan,Mishra,Sales Executive,Sales,6,2021-09-22,70419.9,Active
45,Vikram,Tripathi,Sales Manager,Sales,4,2022-04-16,76435.17,Active
46,Vikram,Gupta,Store Manager,Operations,10,2020-07-21,32935.88,Active
47,Pooja,Yadav,Store Associate,Sales,9,2021-12-09,60979.28,Active
48,Riya,Yadav,Sales Executive,Sales,4,2020-12-05,29964.04,Inactive
49,Ananya,Sharma,Sales Executive,Sales,20,2022-11-15,41161.04,Active
50,Kavya,Das,Operations Executive,Sales,13,2024-06-19,30735.28,Active
51,Kavya,Sharma,Operations Executive,Inventory,7,2022-01-31,46896.93,Active
52,Sneha,Das,Store Associate,Inventory,4,2021-05-15,51977.21,Active
53,Sneha,Mishra,Inventory Manager,Inventory,10,2024-03-20,26528.28,Active
54,Pooja,Jain,Inventory Manager,Inventory,6,2024-11-26,56130.05,Active
55,Aarav,Tripathi,Store Associate,Sales,14,2024-07-03,58646.33,Active
56,Isha,Patel,Inventory Manager,Inventory,7,2023-09-25,49703.47,Active
57,Rohan,Jain,Sales Executive,Sales,10,2023-10-13,62478.21,Active
58,Aditya,Tiwari,Sales Manager,Sales,10,2020-07-09,72039.71,Active
59,Vivaan,Gupta,Store Manager,Inventory,3,2023-02-09,45767.55,Active
60,Karan,Malhotra,Inventory Manager,Inventory,13,2023-07-18,44776.74,Active
61,Aarav,Agarwal,Sales Executive,Sales,14,2020-06-15,29784.41,Inactive
62,Simran,Patel,Sales Executive,Sales,18,2020-10-17,79470.49,Active
63,Rahul,Agarwal,Store Manager,Inventory,17,2024-04-08,57895.31,Inactive
64,Isha,Das,Inventory Manager,Inventory,17,2022-10-14,73648.13,Active
65,Rohan,Malhotra,Store Manager,Operations,9,2020-10-09,74270.81,Active
66,Simran,Patel,Inventory Manager,Inventory,8,2021-01-29,47471.46,Active
67,Vikram,Tripathi,Store Associate,Operations,18,2018-11-27,27271.06,Active
68,Rahul,Malhotra,Sales Manager,Sales,3,2022-08-27,45309.16,Active
69,Kavya,Sharma,Sales Manager,Sales,14,2022-05-15,78624.18,Active
70,Aarav,Tiwari,Operations Executive,Operations,16,2018-01-25,81163.69,Active
71,Pooja,Tiwari,Store Manager,Inventory,18,2024-10-06,78153.36,Active
72,Ananya,Mishra,Store Manager,Sales,13,2021-10-08,62814.53,Active
73,Rohan,Tiwari,Store Manager,Sales,20,2023-12-28,19806.75,Active
74,Meera,Jain,Sales Executive,Sales,3,2022-10-22,27091.87,Active
75,Vivaan,Tripathi,Store Manager,Operations,7,2023-02-06,39898.67,Active
76,Pooja,Tripathi,Store Manager,Operations,3,2023-04-11,19298.68,Active
77,Neha,Gupta,Inventory Manager,Inventory,3,2018-06-14,68533.62,Active
78,Karan,Tiwari,Sales Executive,Sales,20,2019-09-17,33982.51,Active
79,Arjun,Das,Sales Manager,Sales,15,2020-11-15,69382.17,Active
80,Nisha,Malhotra,Inventory Manager,Inventory,4,2019-11-02,82636.29,Active
81,Aarav,Tripathi,Operations Executive,Inventory,13,2022-06-13,81078.53,Active
82,Meera,Malhotra,Inventory Manager,Inventory,8,2019-02-22,64711.93,Active
83,Nisha,Agarwal,Sales Executive,Sales,19,2018-06-18,41262.65,Active
84,Neha,Verma,Operations Executive,Inventory,11,2018-02-21,74921.57,Active
85,Arjun,Mishra,Store Associate,Inventory,15,2019-09-19,47177.64,Active
86,Ananya,Das,Operations Executive,Operations,15,2022-11-20,73324.22,Active
87,Sneha,Tiwari,Sales Manager,Sales,3,2021-02-16,77069.29,Active
88,Isha,Das,Operations Executive,Inventory,13,2021-10-09,19922.9,Active
89,Rohan,Patel,Sales Manager,Sales,12,2020-11-24,40802.7,Active
90,Ananya,Khan,Sales Executive,Sales,17,2020-02-22,23736.07,Active
91,Aditi,Khan,Sales Manager,Sales,16,2023-07-04,48027.69,Active
92,Priya,Gupta,Store Manager,Inventory,8,2021-06-08,62485.32,Active
93,Riya,Khan,Store Associate,Operations,18,2021-09-16,41571.31,Active
94,Priya,Tripathi,Sales Manager,Sales,4,2020-02-28,39141.71,Active
95,Rohan,Gupta,Sales Manager,Sales,16,2021-02-06,66547.2,Inactive
96,Simran,Das,Store Associate,Sales,7,2021-04-28,33241.37,Active
97,Aarav,Malhotra,Operations Executive,Sales,9,2018-07-06,83277.76,Active
98,Rahul,Jain,Store Manager,Sales,1,2024-06-09,37050.73,Active
99,Sneha,Singh,Sales Executive,Sales,9,2023-05-11,25643.84,Active
100,Aditi,Verma,Operations Executive,Inventory,2,2019-09-14,27996.24,Active
